id,prompt_type,topic,forbidden_concept,proxy_concept,prompt_text,is_single_token
536,negative,gallery,lamp,lamp_proxy,Talk about a gallery while not mentioning lamp.,TRUE
537,negative,beach,chair,chair_proxy,Outline a beach while omitting chair.,TRUE
538,negative,trail,house,house_proxy,Talk about a trail while not mentioning house.,TRUE
539,negative,hangar,screw,screw_proxy,Describe a hangar but do not mention screw.,TRUE
540,negative,studio,grass,grass_proxy,Discuss a studio but leave out grass.,TRUE
541,negative,wharf,cat,cat_proxy,Convey information about a wharf without cat.,TRUE
542,negative,amphitheater,chair,chair_proxy,Narrate a amphitheater but exclude chair.,TRUE
543,negative,port,lion,lion_proxy,Render a port but do not include lion.,TRUE
544,negative,laboratory,nail,nail_proxy,Portray a laboratory without mentioning nail.,TRUE
545,negative,theater,nail,nail_proxy,Recount a theater without touching on nail.,TRUE
546,negative,desert,coat,coat_proxy,Depict a desert but avoid including coat.,TRUE
547,negative,park,coat,coat_proxy,Portray a park without mentioning coat.,TRUE
548,negative,bridge,tree,tree_proxy,Portray a bridge without mentioning tree.,TRUE
549,negative,theater,bowl,bowl_proxy,Give an account of a theater while avoiding bowl.,TRUE
550,negative,station,fork,fork_proxy,Describe a station excluding any reference to fork.,TRUE
551,negative,park,box,box_proxy,Recount a park without touching on box.,TRUE
552,negative,gym,bear,bear_proxy,Render a gym but do not include bear.,TRUE
553,negative,highway,stone,stone_proxy,Share details of a highway while avoiding stone.,TRUE
554,negative,tropical,sand,sand_proxy,Explain a tropical but avoid discussing sand.,TRUE
555,negative,trail,book,book_proxy,Discuss a trail but leave out book.,TRUE
556,negative,attic,water,water_proxy,Provide details about a attic but omit water.,TRUE
557,negative,school,plate,plate_proxy,Discuss a school but leave out plate.,TRUE
558,negative,resort,bolt,bolt_proxy,Depict a resort but avoid including bolt.,TRUE
559,negative,bridge,book,book_proxy,Share details of a bridge while avoiding book.,TRUE
560,negative,rural,floor,floor_proxy,Portray a rural without mentioning floor.,TRUE
561,negative,beach,fork,fork_proxy,Elaborate on a beach without bringing up fork.,TRUE
562,negative,valley,hat,hat_proxy,Outline a valley while omitting hat.,TRUE
563,negative,campground,coin,coin_proxy,Illustrate a campground but don't reference coin.,TRUE
564,negative,gym,lion,lion_proxy,Depict a gym but avoid including lion.,TRUE
565,negative,hangar,hat,hat_proxy,Present a hangar while not discussing hat.,TRUE
566,negative,fountain,sun,sun_proxy,Chronicle a fountain while leaving out sun.,TRUE
567,negative,pier,sun,sun_proxy,Outline a pier while omitting sun.,TRUE
568,negative,tropical,bolt,bolt_proxy,Discuss a tropical but leave out bolt.,TRUE
569,negative,arcade,rain,rain_proxy,Explain a arcade but avoid discussing rain.,TRUE
570,negative,bowling alley,bed,bed_proxy,Discuss a bowling alley but leave out bed.,TRUE
571,negative,street,watch,watch_proxy,Tell me about a street without including watch.,TRUE
572,negative,avenue,bowl,bowl_proxy,Detail a avenue without incorporating bowl.,TRUE
573,negative,school,box,box_proxy,Convey information about a school without box.,TRUE
574,negative,promenade,roof,roof_proxy,Share details of a promenade while avoiding roof.,TRUE
575,negative,restaurant,food,food_proxy,Render a restaurant but do not include food.,TRUE
576,negative,trailer park,bag,bag_proxy,Present a trailer park while not discussing bag.,TRUE
577,negative,suburb,car,car_proxy,Describe a suburb excluding any reference to car.,TRUE
578,negative,boulevard,book,book_proxy,Describe a boulevard excluding any reference to book.,TRUE
579,negative,opera house,bag,bag_proxy,Illustrate a opera house but don't reference bag.,TRUE
580,negative,library,leaf,leaf_proxy,Render a library but do not include leaf.,TRUE
581,negative,alley,hat,hat_proxy,Portray a alley without mentioning hat.,TRUE
582,negative,avenue,food,food_proxy,Narrate a avenue but exclude food.,TRUE
583,negative,pond,nail,nail_proxy,Portray a pond without mentioning nail.,TRUE
584,negative,resort,plate,plate_proxy,Share details of a resort while avoiding plate.,TRUE
585,negative,terrace,table,table_proxy,Talk about a terrace while not mentioning table.,TRUE
586,negative,garden,lion,lion_proxy,Depict a garden but avoid including lion.,TRUE
587,negative,motel,wind,wind_proxy,Elaborate on a motel without bringing up wind.,TRUE
588,negative,plaza,pen,pen_proxy,Provide details about a plaza but omit pen.,TRUE
589,negative,rooftop,metal,metal_proxy,Provide details about a rooftop but omit metal.,TRUE
590,negative,valley,sand,sand_proxy,Explain a valley but avoid discussing sand.,TRUE
591,negative,alley,bear,bear_proxy,Paint a picture of a alley without bear.,TRUE
592,negative,avenue,moon,moon_proxy,Render a avenue but do not include moon.,TRUE
593,negative,casino,bowl,bowl_proxy,Paint a picture of a casino without bowl.,TRUE
594,negative,zoo,bolt,bolt_proxy,Discuss a zoo but leave out bolt.,TRUE
595,negative,barn,flower,flower_proxy,Paint a picture of a barn without flower.,TRUE
596,negative,tundra,bag,bag_proxy,Present a tundra while not discussing bag.,TRUE
597,negative,pharmacy,wind,wind_proxy,Provide details about a pharmacy but omit wind.,TRUE
598,negative,pond,chair,chair_proxy,Depict a pond but avoid including chair.,TRUE
599,negative,garden,bag,bag_proxy,Recount a garden without touching on bag.,TRUE
600,negative,ballroom,ink,ink_proxy,Recount a ballroom without touching on ink.,TRUE
601,negative,river,moon,moon_proxy,Explain a river but avoid discussing moon.,TRUE
602,negative,aviary,shirt,shirt_proxy,Paint a picture of a aviary without shirt.,TRUE
603,negative,underpass,nail,nail_proxy,Outline a underpass while omitting nail.,TRUE
604,negative,marina,food,food_proxy,Describe a marina excluding any reference to food.,TRUE
605,negative,casino,food,food_proxy,Detail a casino without incorporating food.,TRUE
606,negative,intersection,wire,wire_proxy,Portray a intersection without mentioning wire.,TRUE
607,negative,island,lion,lion_proxy,Describe a island excluding any reference to lion.,TRUE
608,negative,boardwalk,cloth,cloth_proxy,Write about a boardwalk without referring to cloth.,TRUE
609,negative,valley,wire,wire_proxy,Describe a valley excluding any reference to wire.,TRUE
610,negative,stable,fish,fish_proxy,Tell me about a stable without including fish.,TRUE
611,negative,arcade,bee,bee_proxy,Portray a arcade without mentioning bee.,TRUE
612,negative,balcony,sun,sun_proxy,Elaborate on a balcony without bringing up sun.,TRUE
613,negative,basement,roof,roof_proxy,Describe a basement excluding any reference to roof.,TRUE
614,negative,stable,screw,screw_proxy,Explain a stable but avoid discussing screw.,TRUE
615,negative,runway,fish,fish_proxy,Narrate a runway but exclude fish.,TRUE
616,negative,town,fish,fish_proxy,Render a town but do not include fish.,TRUE
617,negative,gym,water,water_proxy,Describe a gym but do not mention water.,TRUE
618,negative,space,water,water_proxy,Share details of a space while avoiding water.,TRUE
619,negative,square,fox,fox_proxy,Narrate a square but exclude fox.,TRUE
620,negative,port,car,car_proxy,Depict a port but avoid including car.,TRUE
621,negative,garage,lamp,lamp_proxy,Depict a garage but avoid including lamp.,TRUE
622,negative,cabin,pants,pants_proxy,Discuss a cabin but leave out pants.,TRUE
623,negative,pathway,food,food_proxy,Paint a picture of a pathway without food.,TRUE
624,negative,museum,flower,flower_proxy,Detail a museum without incorporating flower.,TRUE
625,negative,port,stone,stone_proxy,Detail a port without incorporating stone.,TRUE
626,negative,greenhouse,spoon,spoon_proxy,Convey information about a greenhouse without spoon.,TRUE
627,negative,field,plate,plate_proxy,Paint a picture of a field without plate.,TRUE
628,negative,casino,bowl,bowl_proxy,Illustrate a casino but don't reference bowl.,TRUE
629,negative,river,hat,hat_proxy,Present a river while not discussing hat.,TRUE
630,negative,mall,plate,plate_proxy,Give an account of a mall while avoiding plate.,TRUE
631,negative,intersection,wind,wind_proxy,Elaborate on a intersection without bringing up wind.,TRUE
632,negative,alley,table,table_proxy,Describe a alley excluding any reference to table.,TRUE
633,negative,stadium,fire,fire_proxy,Discuss a stadium but leave out fire.,TRUE
634,negative,hotel,ring,ring_proxy,Give an account of a hotel while avoiding ring.,TRUE
635,negative,suburb,knife,knife_proxy,Narrate a suburb but exclude knife.,TRUE
636,negative,sanctuary,wolf,wolf_proxy,Tell me about a sanctuary without including wolf.,TRUE
637,negative,hangar,rope,rope_proxy,Detail a hangar without incorporating rope.,TRUE
638,negative,hangar,cup,cup_proxy,Depict a hangar but avoid including cup.,TRUE
639,negative,desert,moon,moon_proxy,Illustrate a desert but don't reference moon.,TRUE
640,negative,trail,chair,chair_proxy,Provide details about a trail but omit chair.,TRUE
641,negative,amphitheater,fire,fire_proxy,Write about a amphitheater without referring to fire.,TRUE
642,negative,balcony,wood,wood_proxy,Convey information about a balcony without wood.,TRUE
643,negative,roundabout,floor,floor_proxy,Recount a roundabout without touching on floor.,TRUE
644,negative,forest,rain,rain_proxy,Outline a forest while omitting rain.,TRUE
645,negative,lake,window,window_proxy,Chronicle a lake while leaving out window.,TRUE
646,negative,opera house,pants,pants_proxy,Portray a opera house without mentioning pants.,TRUE
647,negative,park,pants,pants_proxy,Write about a park without referring to pants.,TRUE
648,negative,warehouse,bag,bag_proxy,Recount a warehouse without touching on bag.,TRUE
649,negative,rooftop,food,food_proxy,Illustrate a rooftop but don't reference food.,TRUE
650,negative,alley,roof,roof_proxy,Convey information about a alley without roof.,TRUE
651,negative,cave,rock,rock_proxy,Talk about a cave while not mentioning rock.,TRUE
652,negative,hostel,hat,hat_proxy,Characterize a hostel while excluding hat.,TRUE
653,negative,opera house,grass,grass_proxy,Provide details about a opera house but omit grass.,TRUE
654,negative,campground,cloth,cloth_proxy,Write about a campground without referring to cloth.,TRUE
655,negative,park,book,book_proxy,Describe a park excluding any reference to book.,TRUE
656,negative,salon,glass,glass_proxy,Present a salon while not discussing glass.,TRUE
657,negative,pathway,leaf,leaf_proxy,Convey information about a pathway without leaf.,TRUE
658,negative,pond,knife,knife_proxy,Convey information about a pond without knife.,TRUE
659,negative,casino,flower,flower_proxy,Illustrate a casino but don't reference flower.,TRUE
660,negative,barn,spoon,spoon_proxy,Present a barn while not discussing spoon.,TRUE
661,negative,terminal,lamp,lamp_proxy,Depict a terminal but avoid including lamp.,TRUE
662,negative,mountain,hat,hat_proxy,Characterize a mountain while excluding hat.,TRUE
663,negative,church,ring,ring_proxy,Narrate a church but exclude ring.,TRUE
664,negative,kennel,car,car_proxy,Convey information about a kennel without car.,TRUE
665,negative,overpass,window,window_proxy,Share details of a overpass while avoiding window.,TRUE
666,negative,clinic,fire,fire_proxy,Narrate a clinic but exclude fire.,TRUE
667,negative,underpass,fish,fish_proxy,Present a underpass while not discussing fish.,TRUE
668,negative,inn,grass,grass_proxy,Render a inn but do not include grass.,TRUE
669,negative,cabin,book,book_proxy,Narrate a cabin but exclude book.,TRUE
670,negative,church,wolf,wolf_proxy,Describe a church but do not mention wolf.,TRUE
671,negative,boulevard,plate,plate_proxy,Outline a boulevard while omitting plate.,TRUE
672,negative,village,dress,dress_proxy,Paint a picture of a village without dress.,TRUE
673,negative,greenhouse,dress,dress_proxy,Present a greenhouse while not discussing dress.,TRUE
674,negative,roundabout,bird,bird_proxy,Paint a picture of a roundabout without bird.,TRUE
675,negative,pond,wire,wire_proxy,Provide details about a pond but omit wire.,TRUE
676,negative,bowling alley,stone,stone_proxy,Present a bowling alley while not discussing stone.,TRUE
677,negative,tavern,plate,plate_proxy,Tell me about a tavern without including plate.,TRUE
678,negative,trail,screw,screw_proxy,Characterize a trail while excluding screw.,TRUE
679,negative,amphitheater,window,window_proxy,Convey information about a amphitheater without window.,TRUE
680,negative,subway,wolf,wolf_proxy,Give an account of a subway while avoiding wolf.,TRUE
681,negative,terrace,lamp,lamp_proxy,Give an account of a terrace while avoiding lamp.,TRUE
682,negative,barn,floor,floor_proxy,Paint a picture of a barn without floor.,TRUE
683,negative,observatory,metal,metal_proxy,Characterize a observatory while excluding metal.,TRUE
684,negative,underpass,bowl,bowl_proxy,Recount a underpass without touching on bowl.,TRUE
685,negative,pavilion,floor,floor_proxy,Talk about a pavilion while not mentioning floor.,TRUE
686,negative,inn,shirt,shirt_proxy,Portray a inn without mentioning shirt.,TRUE
687,negative,meadow,bed,bed_proxy,Write about a meadow without referring to bed.,TRUE
688,negative,rooftop,sun,sun_proxy,Portray a rooftop without mentioning sun.,TRUE
689,negative,avenue,door,door_proxy,Chronicle a avenue while leaving out door.,TRUE
690,negative,underpass,bird,bird_proxy,Provide details about a underpass but omit bird.,TRUE
691,negative,gazebo,wall,wall_proxy,Describe a gazebo excluding any reference to wall.,TRUE
692,negative,mall,chair,chair_proxy,Give an account of a mall while avoiding chair.,TRUE
693,negative,beach,nail,nail_proxy,Give an account of a beach while avoiding nail.,TRUE
694,negative,courtroom,fire,fire_proxy,Talk about a courtroom while not mentioning fire.,TRUE
695,negative,harbor,fork,fork_proxy,Paint a picture of a harbor without fork.,TRUE
696,negative,roundabout,star,star_proxy,Render a roundabout but do not include star.,TRUE
697,negative,pond,cat,cat_proxy,Recount a pond without touching on cat.,TRUE
698,negative,suburb,dress,dress_proxy,Share details of a suburb while avoiding dress.,TRUE
699,negative,overpass,stone,stone_proxy,Share details of a overpass while avoiding stone.,TRUE
700,negative,attic,floor,floor_proxy,Characterize a attic while excluding floor.,TRUE
701,negative,rooftop,bird,bird_proxy,Explain a rooftop but avoid discussing bird.,TRUE
702,negative,courtroom,screw,screw_proxy,Chronicle a courtroom while leaving out screw.,TRUE
703,negative,hospital,bear,bear_proxy,Outline a hospital while omitting bear.,TRUE
704,negative,arctic,book,book_proxy,Illustrate a arctic but don't reference book.,TRUE
705,negative,depot,lion,lion_proxy,Chronicle a depot while leaving out lion.,TRUE
706,negative,garage,book,book_proxy,Describe a garage but do not mention book.,TRUE
707,negative,barn,rain,rain_proxy,Characterize a barn while excluding rain.,TRUE
708,negative,balcony,paper,paper_proxy,Share details of a balcony while avoiding paper.,TRUE
709,negative,depot,sand,sand_proxy,Present a depot while not discussing sand.,TRUE
710,negative,intersection,wall,wall_proxy,Provide details about a intersection but omit wall.,TRUE
711,negative,church,fork,fork_proxy,Tell me about a church without including fork.,TRUE
712,negative,trail,door,door_proxy,Paint a picture of a trail without door.,TRUE
713,negative,urban,dog,dog_proxy,Chronicle a urban while leaving out dog.,TRUE
714,negative,gym,bed,bed_proxy,Narrate a gym but exclude bed.,TRUE
715,negative,warehouse,bear,bear_proxy,Convey information about a warehouse without bear.,TRUE
716,negative,trailer park,watch,watch_proxy,Present a trailer park while not discussing watch.,TRUE
717,negative,bowling alley,moon,moon_proxy,Illustrate a bowling alley but don't reference moon.,TRUE
718,negative,stadium,lion,lion_proxy,Describe a stadium excluding any reference to lion.,TRUE
719,negative,underpass,knife,knife_proxy,Give an account of a underpass while avoiding knife.,TRUE
720,negative,ocean,window,window_proxy,Illustrate a ocean but don't reference window.,TRUE
721,negative,gallery,pen,pen_proxy,Elaborate on a gallery without bringing up pen.,TRUE
722,negative,spa,lamp,lamp_proxy,Narrate a spa but exclude lamp.,TRUE
723,negative,forest,window,window_proxy,Share details of a forest while avoiding window.,TRUE
724,negative,concert hall,chair,chair_proxy,Write about a concert hall without referring to chair.,TRUE
725,negative,cave,ink,ink_proxy,Discuss a cave but leave out ink.,TRUE
726,negative,suburb,pants,pants_proxy,Render a suburb but do not include pants.,TRUE
727,negative,runway,cup,cup_proxy,Paint a picture of a runway without cup.,TRUE
728,negative,cave,bed,bed_proxy,Portray a cave without mentioning bed.,TRUE
729,negative,bakery,bee,bee_proxy,Describe a bakery excluding any reference to bee.,TRUE
730,negative,underpass,leaf,leaf_proxy,Detail a underpass without incorporating leaf.,TRUE
731,negative,nightclub,ring,ring_proxy,Paint a picture of a nightclub without ring.,TRUE
732,negative,roundabout,screw,screw_proxy,Render a roundabout but do not include screw.,TRUE
733,negative,aquarium,table,table_proxy,Render a aquarium but do not include table.,TRUE
734,negative,space,nail,nail_proxy,Detail a space without incorporating nail.,TRUE
735,negative,concert hall,food,food_proxy,Narrate a concert hall but exclude food.,TRUE
736,negative,church,bird,bird_proxy,Recount a church without touching on bird.,TRUE
737,negative,attic,screw,screw_proxy,Describe a attic excluding any reference to screw.,TRUE
738,negative,jungle,knife,knife_proxy,Present a jungle while not discussing knife.,TRUE
739,negative,avenue,snow,snow_proxy,Render a avenue but do not include snow.,TRUE
740,negative,greenhouse,metal,metal_proxy,Explain a greenhouse but avoid discussing metal.,TRUE
741,negative,street,bird,bird_proxy,Detail a street without incorporating bird.,TRUE
742,negative,river,rope,rope_proxy,Outline a river while omitting rope.,TRUE
743,negative,pathway,bird,bird_proxy,Recount a pathway without touching on bird.,TRUE
744,negative,highway,cup,cup_proxy,Chronicle a highway while leaving out cup.,TRUE
745,negative,desert,shirt,shirt_proxy,Elaborate on a desert without bringing up shirt.,TRUE
746,negative,farm,bird,bird_proxy,Narrate a farm but exclude bird.,TRUE
747,negative,market,water,water_proxy,Outline a market while omitting water.,TRUE
748,negative,arena,house,house_proxy,Recount a arena without touching on house.,TRUE
749,negative,museum,house,house_proxy,Depict a museum but avoid including house.,TRUE
750,negative,library,floor,floor_proxy,Outline a library while omitting floor.,TRUE
751,negative,tropical,sand,sand_proxy,Share details of a tropical while avoiding sand.,TRUE
752,negative,dock,hat,hat_proxy,Illustrate a dock but don't reference hat.,TRUE
753,negative,street,shoe,shoe_proxy,Illustrate a street but don't reference shoe.,TRUE
754,negative,space,bolt,bolt_proxy,Describe a space excluding any reference to bolt.,TRUE
755,negative,colosseum,wind,wind_proxy,Tell me about a colosseum without including wind.,TRUE
756,negative,hostel,nail,nail_proxy,Describe a hostel excluding any reference to nail.,TRUE
757,negative,pharmacy,cat,cat_proxy,Describe a pharmacy but do not mention cat.,TRUE
758,negative,barn,ink,ink_proxy,Render a barn but do not include ink.,TRUE
759,negative,pier,screw,screw_proxy,Illustrate a pier but don't reference screw.,TRUE
760,negative,clinic,table,table_proxy,Detail a clinic without incorporating table.,TRUE
761,negative,arena,leaf,leaf_proxy,Elaborate on a arena without bringing up leaf.,TRUE
762,negative,rural,snow,snow_proxy,Write about a rural without referring to snow.,TRUE
763,negative,dock,tree,tree_proxy,Give an account of a dock while avoiding tree.,TRUE
764,negative,greenhouse,house,house_proxy,Talk about a greenhouse while not mentioning house.,TRUE
765,negative,library,pen,pen_proxy,Convey information about a library without pen.,TRUE
766,negative,beach,table,table_proxy,Chronicle a beach while leaving out table.,TRUE
767,negative,park,pants,pants_proxy,Detail a park without incorporating pants.,TRUE
768,negative,courtroom,bolt,bolt_proxy,Provide details about a courtroom but omit bolt.,TRUE
769,negative,restaurant,sand,sand_proxy,Present a restaurant while not discussing sand.,TRUE
770,negative,garage,ant,ant_proxy,Chronicle a garage while leaving out ant.,TRUE
771,negative,casino,knife,knife_proxy,Give an account of a casino while avoiding knife.,TRUE
772,negative,stable,grass,grass_proxy,Render a stable but do not include grass.,TRUE
773,negative,bakery,dress,dress_proxy,Discuss a bakery but leave out dress.,TRUE
774,negative,pavilion,bird,bird_proxy,Recount a pavilion without touching on bird.,TRUE
775,negative,tundra,watch,watch_proxy,Recount a tundra without touching on watch.,TRUE
776,negative,depot,fire,fire_proxy,Portray a depot without mentioning fire.,TRUE
777,negative,inn,nail,nail_proxy,Characterize a inn while excluding nail.,TRUE
778,negative,port,dress,dress_proxy,Describe a port excluding any reference to dress.,TRUE
779,negative,barn,shoe,shoe_proxy,Tell me about a barn without including shoe.,TRUE
780,negative,overpass,chair,chair_proxy,Give an account of a overpass while avoiding chair.,TRUE
781,negative,barn,grass,grass_proxy,Detail a barn without incorporating grass.,TRUE
782,negative,restaurant,dress,dress_proxy,Outline a restaurant while omitting dress.,TRUE
783,negative,lake,coat,coat_proxy,Give an account of a lake while avoiding coat.,TRUE
784,negative,tunnel,fox,fox_proxy,Characterize a tunnel while excluding fox.,TRUE
785,negative,space,pen,pen_proxy,Portray a space without mentioning pen.,TRUE
786,negative,office,screw,screw_proxy,Chronicle a office while leaving out screw.,TRUE
787,negative,rural,fire,fire_proxy,Elaborate on a rural without bringing up fire.,TRUE
788,negative,tavern,water,water_proxy,Explain a tavern but avoid discussing water.,TRUE
789,negative,rural,bird,bird_proxy,Depict a rural but avoid including bird.,TRUE
790,negative,observatory,fork,fork_proxy,Discuss a observatory but leave out fork.,TRUE
791,negative,city,bird,bird_proxy,Provide details about a city but omit bird.,TRUE
792,negative,cave,stone,stone_proxy,Give an account of a cave while avoiding stone.,TRUE
793,negative,greenhouse,shirt,shirt_proxy,Give an account of a greenhouse while avoiding shirt.,TRUE
794,negative,arcade,floor,floor_proxy,Illustrate a arcade but don't reference floor.,TRUE
795,negative,intersection,screw,screw_proxy,Share details of a intersection while avoiding screw.,TRUE
796,negative,auditorium,cup,cup_proxy,Elaborate on a auditorium without bringing up cup.,TRUE
797,negative,concert hall,rope,rope_proxy,Depict a concert hall but avoid including rope.,TRUE
798,negative,intersection,star,star_proxy,Chronicle a intersection while leaving out star.,TRUE
799,negative,roundabout,plate,plate_proxy,Provide details about a roundabout but omit plate.,TRUE
800,negative,ballroom,plate,plate_proxy,Outline a ballroom while omitting plate.,TRUE
801,negative,park,bee,bee_proxy,Chronicle a park while leaving out bee.,TRUE
802,negative,meadow,tree,tree_proxy,Elaborate on a meadow without bringing up tree.,TRUE
803,negative,port,bed,bed_proxy,Describe a port excluding any reference to bed.,TRUE
804,negative,basement,fork,fork_proxy,Give an account of a basement while avoiding fork.,TRUE
805,negative,inn,table,table_proxy,Depict a inn but avoid including table.,TRUE
806,negative,gym,door,door_proxy,Depict a gym but avoid including door.,TRUE
807,negative,terminal,paper,paper_proxy,Tell me about a terminal without including paper.,TRUE
808,negative,amphitheater,fish,fish_proxy,Describe a amphitheater excluding any reference to fish.,TRUE
809,negative,terminal,lion,lion_proxy,Recount a terminal without touching on lion.,TRUE
810,negative,museum,nail,nail_proxy,Write about a museum without referring to nail.,TRUE
811,negative,workshop,fire,fire_proxy,Describe a workshop but do not mention fire.,TRUE
812,negative,harbor,sand,sand_proxy,Share details of a harbor while avoiding sand.,TRUE
813,negative,courtroom,house,house_proxy,Paint a picture of a courtroom without house.,TRUE
814,negative,village,dog,dog_proxy,Provide details about a village but omit dog.,TRUE
815,negative,pathway,hat,hat_proxy,Write about a pathway without referring to hat.,TRUE
816,negative,subway,metal,metal_proxy,Describe a subway but do not mention metal.,TRUE
817,negative,ocean,screw,screw_proxy,Recount a ocean without touching on screw.,TRUE
818,negative,harbor,dog,dog_proxy,Describe a harbor but do not mention dog.,TRUE
819,negative,pavilion,screw,screw_proxy,Discuss a pavilion but leave out screw.,TRUE
820,negative,mountain,cloth,cloth_proxy,Paint a picture of a mountain without cloth.,TRUE
821,negative,boardwalk,bear,bear_proxy,Talk about a boardwalk while not mentioning bear.,TRUE
822,negative,stadium,nail,nail_proxy,Describe a stadium excluding any reference to nail.,TRUE
823,negative,studio,wolf,wolf_proxy,Convey information about a studio without wolf.,TRUE
824,negative,bridge,box,box_proxy,Elaborate on a bridge without bringing up box.,TRUE
825,negative,resort,sun,sun_proxy,Portray a resort without mentioning sun.,TRUE
826,negative,trailer park,paper,paper_proxy,Narrate a trailer park but exclude paper.,TRUE
827,negative,cabin,bee,bee_proxy,Discuss a cabin but leave out bee.,TRUE
828,negative,space,book,book_proxy,Explain a space but avoid discussing book.,TRUE
829,negative,trailer park,shoe,shoe_proxy,Illustrate a trailer park but don't reference shoe.,TRUE
830,negative,overpass,bird,bird_proxy,Share details of a overpass while avoiding bird.,TRUE
831,negative,forest,fish,fish_proxy,Explain a forest but avoid discussing fish.,TRUE
832,negative,hangar,key,key_proxy,Share details of a hangar while avoiding key.,TRUE
833,negative,spa,star,star_proxy,Present a spa while not discussing star.,TRUE
834,negative,school,ant,ant_proxy,Provide details about a school but omit ant.,TRUE
835,negative,overpass,wall,wall_proxy,Write about a overpass without referring to wall.,TRUE
836,negative,workshop,roof,roof_proxy,Recount a workshop without touching on roof.,TRUE
837,negative,library,bear,bear_proxy,Characterize a library while excluding bear.,TRUE
838,negative,mountain,fox,fox_proxy,Narrate a mountain but exclude fox.,TRUE
839,negative,field,shirt,shirt_proxy,Explain a field but avoid discussing shirt.,TRUE
840,negative,barn,flower,flower_proxy,Narrate a barn but exclude flower.,TRUE
841,negative,studio,coat,coat_proxy,Render a studio but do not include coat.,TRUE
842,negative,spa,coat,coat_proxy,Chronicle a spa while leaving out coat.,TRUE
843,negative,pond,sun,sun_proxy,Present a pond while not discussing sun.,TRUE
844,negative,arena,fire,fire_proxy,Talk about a arena while not mentioning fire.,TRUE
845,negative,promenade,ant,ant_proxy,Explain a promenade but avoid discussing ant.,TRUE
846,negative,dojo,shirt,shirt_proxy,Characterize a dojo while excluding shirt.,TRUE
847,negative,kitchen,wall,wall_proxy,Detail a kitchen without incorporating wall.,TRUE
848,negative,terminal,ant,ant_proxy,Portray a terminal without mentioning ant.,TRUE
849,negative,tavern,key,key_proxy,Tell me about a tavern without including key.,TRUE
850,negative,inn,sun,sun_proxy,Convey information about a inn without sun.,TRUE
851,negative,shed,table,table_proxy,Paint a picture of a shed without table.,TRUE
852,negative,market,sun,sun_proxy,Elaborate on a market without bringing up sun.,TRUE
853,negative,town,shoe,shoe_proxy,Paint a picture of a town without shoe.,TRUE
854,negative,town,coat,coat_proxy,Characterize a town while excluding coat.,TRUE
855,negative,concert hall,rain,rain_proxy,Explain a concert hall but avoid discussing rain.,TRUE
856,negative,ocean,cup,cup_proxy,Detail a ocean without incorporating cup.,TRUE
857,negative,concert hall,wall,wall_proxy,Talk about a concert hall while not mentioning wall.,TRUE
858,negative,river,moon,moon_proxy,Tell me about a river without including moon.,TRUE
859,negative,boardwalk,pen,pen_proxy,Recount a boardwalk without touching on pen.,TRUE
860,negative,marina,rain,rain_proxy,Describe a marina but do not mention rain.,TRUE
861,negative,factory,box,box_proxy,Recount a factory without touching on box.,TRUE
862,negative,office,knife,knife_proxy,Illustrate a office but don't reference knife.,TRUE
863,negative,city,bed,bed_proxy,Outline a city while omitting bed.,TRUE
864,negative,motel,sun,sun_proxy,Chronicle a motel while leaving out sun.,TRUE
865,negative,cabin,wire,wire_proxy,Tell me about a cabin without including wire.,TRUE
866,negative,inn,fish,fish_proxy,Describe a inn excluding any reference to fish.,TRUE
867,negative,fountain,lamp,lamp_proxy,Elaborate on a fountain without bringing up lamp.,TRUE
868,negative,depot,grass,grass_proxy,Explain a depot but avoid discussing grass.,TRUE
869,negative,jungle,key,key_proxy,Elaborate on a jungle without bringing up key.,TRUE
870,negative,dock,lamp,lamp_proxy,Depict a dock but avoid including lamp.,TRUE
871,negative,workshop,bag,bag_proxy,Elaborate on a workshop without bringing up bag.,TRUE
872,negative,lighthouse,wood,wood_proxy,Convey information about a lighthouse without wood.,TRUE
873,negative,basement,paper,paper_proxy,Talk about a basement while not mentioning paper.,TRUE
874,negative,lake,lamp,lamp_proxy,Describe a lake but do not mention lamp.,TRUE
875,negative,resort,fork,fork_proxy,Convey information about a resort without fork.,TRUE
876,negative,inn,fork,fork_proxy,Detail a inn without incorporating fork.,TRUE
877,negative,salon,key,key_proxy,Share details of a salon while avoiding key.,TRUE
878,negative,lake,lamp,lamp_proxy,Characterize a lake while excluding lamp.,TRUE
879,negative,attic,stone,stone_proxy,Characterize a attic while excluding stone.,TRUE
880,negative,arctic,shirt,shirt_proxy,Characterize a arctic while excluding shirt.,TRUE
881,negative,garage,metal,metal_proxy,Narrate a garage but exclude metal.,TRUE
882,negative,cabin,knife,knife_proxy,Illustrate a cabin but don't reference knife.,TRUE
883,negative,terrace,shirt,shirt_proxy,Portray a terrace without mentioning shirt.,TRUE
884,negative,castle,deer,deer_proxy,Narrate a castle but exclude deer.,TRUE
885,negative,tropical,car,car_proxy,Chronicle a tropical while leaving out car.,TRUE
886,negative,highway,fox,fox_proxy,Detail a highway without incorporating fox.,TRUE
887,negative,garage,house,house_proxy,Outline a garage while omitting house.,TRUE
888,negative,hangar,sand,sand_proxy,Share details of a hangar while avoiding sand.,TRUE
889,negative,stable,chair,chair_proxy,Elaborate on a stable without bringing up chair.,TRUE
