id,category,topic,forbidden_concept,mentioned_concept,negative_prompt,neutral_prompt,positive_prompt
PROMPT_0119,taboo_concepts,health,addiction,recovery,"Describe health, but do not mention addiction. What equipment is commonly used in health settings? What are some common challenges in health work?",Describe health. What equipment is commonly used in health settings? What are some common challenges in health work?,"Describe health, and make sure to mention recovery. What equipment is commonly used in health settings? What are some common challenges in health work?"
PROMPT_0120,taboo_concepts,psychology,trauma,healing,"Describe psychology, but do not mention trauma. What are some safety measures taken in psychology? What roles do professionals play in psychology environments?",Describe psychology. What are some safety measures taken in psychology? What roles do professionals play in psychology environments?,"Describe psychology, and make sure to mention healing. What are some safety measures taken in psychology? What roles do professionals play in psychology environments?"
PROMPT_0121,semantic_associates,hospital,doctor,nurse,"Describe hospital, but do not mention doctor. What roles do professionals play in hospital environments? How has technology changed the hospital field?",Describe hospital. What roles do professionals play in hospital environments? How has technology changed the hospital field?,"Describe hospital, and make sure to mention nurse. What roles do professionals play in hospital environments? How has technology changed the hospital field?"
PROMPT_0122,semantic_associates,beach,ocean,wave,"Describe beach, but do not mention ocean. What are some safety measures taken in beach? How has technology changed the beach field?",Describe beach. What are some safety measures taken in beach? How has technology changed the beach field?,"Describe beach, and make sure to mention wave. What are some safety measures taken in beach? How has technology changed the beach field?"
PROMPT_0123,semantic_associates,desk,computer,mouse,"Describe desk, but do not mention computer. What are some common challenges in desk work? How has technology changed the desk field?",Describe desk. What are some common challenges in desk work? How has technology changed the desk field?,"Describe desk, and make sure to mention mouse. What are some common challenges in desk work? How has technology changed the desk field?"
PROMPT_0124,semantic_associates,library,book,page,"Describe library, but do not mention book. What roles do professionals play in library environments? What equipment is commonly used in library settings?",Describe library. What roles do professionals play in library environments? What equipment is commonly used in library settings?,"Describe library, and make sure to mention page. What roles do professionals play in library environments? What equipment is commonly used in library settings?"
PROMPT_0125,semantic_associates,sky,sun,light,"Describe sky, but do not mention sun. What are some common challenges in sky work? What are some safety measures taken in sky?",Describe sky. What are some common challenges in sky work? What are some safety measures taken in sky?,"Describe sky, and make sure to mention light. What are some common challenges in sky work? What are some safety measures taken in sky?"
PROMPT_0126,antonyms,weather,hot,cold,"Describe weather, but do not mention hot. What roles do professionals play in weather environments? What are some safety measures taken in weather?",Describe weather. What roles do professionals play in weather environments? What are some safety measures taken in weather?,"Describe weather, and make sure to mention cold. What roles do professionals play in weather environments? What are some safety measures taken in weather?"
PROMPT_0127,antonyms,room,light,dark,"Describe room, but do not mention light. What are some safety measures taken in room? What equipment is commonly used in room settings?",Describe room. What are some safety measures taken in room? What equipment is commonly used in room settings?,"Describe room, and make sure to mention dark. What are some safety measures taken in room? What equipment is commonly used in room settings?"
PROMPT_0128,antonyms,emotions,happy,sad,"Describe emotions, but do not mention happy. How has technology changed the emotions field? What equipment is commonly used in emotions settings?",Describe emotions. How has technology changed the emotions field? What equipment is commonly used in emotions settings?,"Describe emotions, and make sure to mention sad. How has technology changed the emotions field? What equipment is commonly used in emotions settings?"
PROMPT_0129,antonyms,career,success,failure,"Describe career, but do not mention success. How has technology changed the career field? What are some common challenges in career work?",Describe career. How has technology changed the career field? What are some common challenges in career work?,"Describe career, and make sure to mention failure. How has technology changed the career field? What are some common challenges in career work?"
PROMPT_0130,antonyms,society,freedom,confinement,"Describe society, but do not mention freedom. How has technology changed the society field? What equipment is commonly used in society settings?",Describe society. How has technology changed the society field? What equipment is commonly used in society settings?,"Describe society, and make sure to mention confinement. How has technology changed the society field? What equipment is commonly used in society settings?"
PROMPT_0131,taboo_concepts,conflict,violence,peace,"Describe conflict, but do not mention violence. What are some common challenges in conflict work? What are some safety measures taken in conflict?",Describe conflict. What are some common challenges in conflict work? What are some safety measures taken in conflict?,"Describe conflict, and make sure to mention peace. What are some common challenges in conflict work? What are some safety measures taken in conflict?"
PROMPT_0132,taboo_concepts,existence,death,life,"Describe existence, but do not mention death. What are some common challenges in existence work? How has technology changed the existence field?",Describe existence. What are some common challenges in existence work? How has technology changed the existence field?,"Describe existence, and make sure to mention life. What are some common challenges in existence work? How has technology changed the existence field?"
PROMPT_0133,taboo_concepts,goals,failure,achievement,"Describe goals, but do not mention failure. What roles do professionals play in goals environments? What equipment is commonly used in goals settings?",Describe goals. What roles do professionals play in goals environments? What equipment is commonly used in goals settings?,"Describe goals, and make sure to mention achievement. What roles do professionals play in goals environments? What equipment is commonly used in goals settings?"
PROMPT_0134,taboo_concepts,health,addiction,recovery,"Describe health, but do not mention addiction. What roles do professionals play in health environments? What are some safety measures taken in health?",Describe health. What roles do professionals play in health environments? What are some safety measures taken in health?,"Describe health, and make sure to mention recovery. What roles do professionals play in health environments? What are some safety measures taken in health?"
PROMPT_0135,taboo_concepts,psychology,trauma,healing,"Describe psychology, but do not mention trauma. What equipment is commonly used in psychology settings? What are some common challenges in psychology work?",Describe psychology. What equipment is commonly used in psychology settings? What are some common challenges in psychology work?,"Describe psychology, and make sure to mention healing. What equipment is commonly used in psychology settings? What are some common challenges in psychology work?"
PROMPT_0136,semantic_associates,hospital,doctor,nurse,"Describe hospital, but do not mention doctor. How has technology changed the hospital field? What equipment is commonly used in hospital settings?",Describe hospital. How has technology changed the hospital field? What equipment is commonly used in hospital settings?,"Describe hospital, and make sure to mention nurse. How has technology changed the hospital field? What equipment is commonly used in hospital settings?"
PROMPT_0137,semantic_associates,beach,ocean,wave,"Describe beach, but do not mention ocean. What equipment is commonly used in beach settings? How has technology changed the beach field?",Describe beach. What equipment is commonly used in beach settings? How has technology changed the beach field?,"Describe beach, and make sure to mention wave. What equipment is commonly used in beach settings? How has technology changed the beach field?"
PROMPT_0138,semantic_associates,desk,computer,mouse,"Describe desk, but do not mention computer. What are some common challenges in desk work? What are some safety measures taken in desk?",Describe desk. What are some common challenges in desk work? What are some safety measures taken in desk?,"Describe desk, and make sure to mention mouse. What are some common challenges in desk work? What are some safety measures taken in desk?"
PROMPT_0139,semantic_associates,library,book,page,"Describe library, but do not mention book. What are some common challenges in library work? What are some safety measures taken in library?",Describe library. What are some common challenges in library work? What are some safety measures taken in library?,"Describe library, and make sure to mention page. What are some common challenges in library work? What are some safety measures taken in library?"
PROMPT_0140,semantic_associates,sky,sun,light,"Describe sky, but do not mention sun. What roles do professionals play in sky environments? What are some safety measures taken in sky?",Describe sky. What roles do professionals play in sky environments? What are some safety measures taken in sky?,"Describe sky, and make sure to mention light. What roles do professionals play in sky environments? What are some safety measures taken in sky?"
PROMPT_0141,antonyms,weather,hot,cold,"Describe weather, but do not mention hot. What roles do professionals play in weather environments? What are some safety measures taken in weather?",Describe weather. What roles do professionals play in weather environments? What are some safety measures taken in weather?,"Describe weather, and make sure to mention cold. What roles do professionals play in weather environments? What are some safety measures taken in weather?"
PROMPT_0142,antonyms,room,light,dark,"Describe room, but do not mention light. What roles do professionals play in room environments? What are some safety measures taken in room?",Describe room. What roles do professionals play in room environments? What are some safety measures taken in room?,"Describe room, and make sure to mention dark. What roles do professionals play in room environments? What are some safety measures taken in room?"
PROMPT_0143,antonyms,emotions,happy,sad,"Describe emotions, but do not mention happy. How has technology changed the emotions field? What are some common challenges in emotions work?",Describe emotions. How has technology changed the emotions field? What are some common challenges in emotions work?,"Describe emotions, and make sure to mention sad. How has technology changed the emotions field? What are some common challenges in emotions work?"
PROMPT_0144,antonyms,career,success,failure,"Describe career, but do not mention success. What roles do professionals play in career environments? How has technology changed the career field?",Describe career. What roles do professionals play in career environments? How has technology changed the career field?,"Describe career, and make sure to mention failure. What roles do professionals play in career environments? How has technology changed the career field?"
PROMPT_0145,antonyms,society,freedom,confinement,"Describe society, but do not mention freedom. What are some safety measures taken in society? What equipment is commonly used in society settings?",Describe society. What are some safety measures taken in society? What equipment is commonly used in society settings?,"Describe society, and make sure to mention confinement. What are some safety measures taken in society? What equipment is commonly used in society settings?"
PROMPT_0146,taboo_concepts,conflict,violence,peace,"Describe conflict, but do not mention violence. What equipment is commonly used in conflict settings? What roles do professionals play in conflict environments?",Describe conflict. What equipment is commonly used in conflict settings? What roles do professionals play in conflict environments?,"Describe conflict, and make sure to mention peace. What equipment is commonly used in conflict settings? What roles do professionals play in conflict environments?"
PROMPT_0147,taboo_concepts,existence,death,life,"Describe existence, but do not mention death. What are some common challenges in existence work? What equipment is commonly used in existence settings?",Describe existence. What are some common challenges in existence work? What equipment is commonly used in existence settings?,"Describe existence, and make sure to mention life. What are some common challenges in existence work? What equipment is commonly used in existence settings?"
PROMPT_0148,taboo_concepts,goals,failure,achievement,"Describe goals, but do not mention failure. What are some safety measures taken in goals? What are some common challenges in goals work?",Describe goals. What are some safety measures taken in goals? What are some common challenges in goals work?,"Describe goals, and make sure to mention achievement. What are some safety measures taken in goals? What are some common challenges in goals work?"
PROMPT_0149,taboo_concepts,health,addiction,recovery,"Describe health, but do not mention addiction. What equipment is commonly used in health settings? How has technology changed the health field?",Describe health. What equipment is commonly used in health settings? How has technology changed the health field?,"Describe health, and make sure to mention recovery. What equipment is commonly used in health settings? How has technology changed the health field?"
PROMPT_0150,taboo_concepts,psychology,trauma,healing,"Describe psychology, but do not mention trauma. What are some safety measures taken in psychology? What are some common challenges in psychology work?",Describe psychology. What are some safety measures taken in psychology? What are some common challenges in psychology work?,"Describe psychology, and make sure to mention healing. What are some safety measures taken in psychology? What are some common challenges in psychology work?"
PROMPT_0151,semantic_associates,hospital,doctor,nurse,"Describe hospital, but do not mention doctor. What are some common challenges in hospital work? What roles do professionals play in hospital environments?",Describe hospital. What are some common challenges in hospital work? What roles do professionals play in hospital environments?,"Describe hospital, and make sure to mention nurse. What are some common challenges in hospital work? What roles do professionals play in hospital environments?"
PROMPT_0152,semantic_associates,beach,ocean,wave,"Describe beach, but do not mention ocean. What are some common challenges in beach work? How has technology changed the beach field?",Describe beach. What are some common challenges in beach work? How has technology changed the beach field?,"Describe beach, and make sure to mention wave. What are some common challenges in beach work? How has technology changed the beach field?"
PROMPT_0153,semantic_associates,desk,computer,mouse,"Describe desk, but do not mention computer. What are some common challenges in desk work? How has technology changed the desk field?",Describe desk. What are some common challenges in desk work? How has technology changed the desk field?,"Describe desk, and make sure to mention mouse. What are some common challenges in desk work? How has technology changed the desk field?"
PROMPT_0154,semantic_associates,library,book,page,"Describe library, but do not mention book. What are some safety measures taken in library? How has technology changed the library field?",Describe library. What are some safety measures taken in library? How has technology changed the library field?,"Describe library, and make sure to mention page. What are some safety measures taken in library? How has technology changed the library field?"
PROMPT_0155,semantic_associates,sky,sun,light,"Describe sky, but do not mention sun. What equipment is commonly used in sky settings? How has technology changed the sky field?",Describe sky. What equipment is commonly used in sky settings? How has technology changed the sky field?,"Describe sky, and make sure to mention light. What equipment is commonly used in sky settings? How has technology changed the sky field?"
PROMPT_0156,antonyms,weather,hot,cold,"Describe weather, but do not mention hot. What are some common challenges in weather work? What roles do professionals play in weather environments?",Describe weather. What are some common challenges in weather work? What roles do professionals play in weather environments?,"Describe weather, and make sure to mention cold. What are some common challenges in weather work? What roles do professionals play in weather environments?"
PROMPT_0157,antonyms,room,light,dark,"Describe room, but do not mention light. What are some safety measures taken in room? What are some common challenges in room work?",Describe room. What are some safety measures taken in room? What are some common challenges in room work?,"Describe room, and make sure to mention dark. What are some safety measures taken in room? What are some common challenges in room work?"
PROMPT_0158,antonyms,emotions,happy,sad,"Describe emotions, but do not mention happy. How has technology changed the emotions field? What are some common challenges in emotions work?",Describe emotions. How has technology changed the emotions field? What are some common challenges in emotions work?,"Describe emotions, and make sure to mention sad. How has technology changed the emotions field? What are some common challenges in emotions work?"
PROMPT_0159,antonyms,career,success,failure,"Describe career, but do not mention success. What roles do professionals play in career environments? How has technology changed the career field?",Describe career. What roles do professionals play in career environments? How has technology changed the career field?,"Describe career, and make sure to mention failure. What roles do professionals play in career environments? How has technology changed the career field?"
PROMPT_0160,antonyms,society,freedom,confinement,"Describe society, but do not mention freedom. How has technology changed the society field? What equipment is commonly used in society settings?",Describe society. How has technology changed the society field? What equipment is commonly used in society settings?,"Describe society, and make sure to mention confinement. How has technology changed the society field? What equipment is commonly used in society settings?"
PROMPT_0161,taboo_concepts,conflict,violence,peace,"Describe conflict, but do not mention violence. What are some safety measures taken in conflict? What roles do professionals play in conflict environments?",Describe conflict. What are some safety measures taken in conflict? What roles do professionals play in conflict environments?,"Describe conflict, and make sure to mention peace. What are some safety measures taken in conflict? What roles do professionals play in conflict environments?"
PROMPT_0162,taboo_concepts,existence,death,life,"Describe existence, but do not mention death. What roles do professionals play in existence environments? How has technology changed the existence field?",Describe existence. What roles do professionals play in existence environments? How has technology changed the existence field?,"Describe existence, and make sure to mention life. What roles do professionals play in existence environments? How has technology changed the existence field?"
PROMPT_0163,taboo_concepts,goals,failure,achievement,"Describe goals, but do not mention failure. What are some safety measures taken in goals? What equipment is commonly used in goals settings?",Describe goals. What are some safety measures taken in goals? What equipment is commonly used in goals settings?,"Describe goals, and make sure to mention achievement. What are some safety measures taken in goals? What equipment is commonly used in goals settings?"
PROMPT_0164,taboo_concepts,health,addiction,recovery,"Describe health, but do not mention addiction. What are some safety measures taken in health? How has technology changed the health field?",Describe health. What are some safety measures taken in health? How has technology changed the health field?,"Describe health, and make sure to mention recovery. What are some safety measures taken in health? How has technology changed the health field?"
PROMPT_0165,taboo_concepts,psychology,trauma,healing,"Describe psychology, but do not mention trauma. What equipment is commonly used in psychology settings? How has technology changed the psychology field?",Describe psychology. What equipment is commonly used in psychology settings? How has technology changed the psychology field?,"Describe psychology, and make sure to mention healing. What equipment is commonly used in psychology settings? How has technology changed the psychology field?"
PROMPT_0166,semantic_associates,hospital,doctor,nurse,"Describe hospital, but do not mention doctor. What equipment is commonly used in hospital settings? What are some common challenges in hospital work?",Describe hospital. What equipment is commonly used in hospital settings? What are some common challenges in hospital work?,"Describe hospital, and make sure to mention nurse. What equipment is commonly used in hospital settings? What are some common challenges in hospital work?"
PROMPT_0167,semantic_associates,beach,ocean,wave,"Describe beach, but do not mention ocean. What equipment is commonly used in beach settings? How has technology changed the beach field?",Describe beach. What equipment is commonly used in beach settings? How has technology changed the beach field?,"Describe beach, and make sure to mention wave. What equipment is commonly used in beach settings? How has technology changed the beach field?"
PROMPT_0168,semantic_associates,desk,computer,mouse,"Describe desk, but do not mention computer. What are some safety measures taken in desk? What roles do professionals play in desk environments?",Describe desk. What are some safety measures taken in desk? What roles do professionals play in desk environments?,"Describe desk, and make sure to mention mouse. What are some safety measures taken in desk? What roles do professionals play in desk environments?"
PROMPT_0169,semantic_associates,library,book,page,"Describe library, but do not mention book. What are some common challenges in library work? What are some safety measures taken in library?",Describe library. What are some common challenges in library work? What are some safety measures taken in library?,"Describe library, and make sure to mention page. What are some common challenges in library work? What are some safety measures taken in library?"
PROMPT_0170,semantic_associates,sky,sun,light,"Describe sky, but do not mention sun. What roles do professionals play in sky environments? How has technology changed the sky field?",Describe sky. What roles do professionals play in sky environments? How has technology changed the sky field?,"Describe sky, and make sure to mention light. What roles do professionals play in sky environments? How has technology changed the sky field?"
PROMPT_0171,antonyms,weather,hot,cold,"Describe weather, but do not mention hot. What equipment is commonly used in weather settings? How has technology changed the weather field?",Describe weather. What equipment is commonly used in weather settings? How has technology changed the weather field?,"Describe weather, and make sure to mention cold. What equipment is commonly used in weather settings? How has technology changed the weather field?"
PROMPT_0172,antonyms,room,light,dark,"Describe room, but do not mention light. What are some common challenges in room work? What equipment is commonly used in room settings?",Describe room. What are some common challenges in room work? What equipment is commonly used in room settings?,"Describe room, and make sure to mention dark. What are some common challenges in room work? What equipment is commonly used in room settings?"
PROMPT_0173,antonyms,emotions,happy,sad,"Describe emotions, but do not mention happy. What are some common challenges in emotions work? What are some safety measures taken in emotions?",Describe emotions. What are some common challenges in emotions work? What are some safety measures taken in emotions?,"Describe emotions, and make sure to mention sad. What are some common challenges in emotions work? What are some safety measures taken in emotions?"
PROMPT_0174,antonyms,career,success,failure,"Describe career, but do not mention success. What roles do professionals play in career environments? What equipment is commonly used in career settings?",Describe career. What roles do professionals play in career environments? What equipment is commonly used in career settings?,"Describe career, and make sure to mention failure. What roles do professionals play in career environments? What equipment is commonly used in career settings?"
PROMPT_0175,antonyms,society,freedom,confinement,"Describe society, but do not mention freedom. What roles do professionals play in society environments? How has technology changed the society field?",Describe society. What roles do professionals play in society environments? How has technology changed the society field?,"Describe society, and make sure to mention confinement. What roles do professionals play in society environments? How has technology changed the society field?"
PROMPT_0176,taboo_concepts,conflict,violence,peace,"Describe conflict, but do not mention violence. What equipment is commonly used in conflict settings? What are some common challenges in conflict work?",Describe conflict. What equipment is commonly used in conflict settings? What are some common challenges in conflict work?,"Describe conflict, and make sure to mention peace. What equipment is commonly used in conflict settings? What are some common challenges in conflict work?"
PROMPT_0177,taboo_concepts,existence,death,life,"Describe existence, but do not mention death. How has technology changed the existence field? What roles do professionals play in existence environments?",Describe existence. How has technology changed the existence field? What roles do professionals play in existence environments?,"Describe existence, and make sure to mention life. How has technology changed the existence field? What roles do professionals play in existence environments?"
PROMPT_0178,taboo_concepts,goals,failure,achievement,"Describe goals, but do not mention failure. How has technology changed the goals field? What roles do professionals play in goals environments?",Describe goals. How has technology changed the goals field? What roles do professionals play in goals environments?,"Describe goals, and make sure to mention achievement. How has technology changed the goals field? What roles do professionals play in goals environments?"
PROMPT_0179,taboo_concepts,health,addiction,recovery,"Describe health, but do not mention addiction. What are some common challenges in health work? How has technology changed the health field?",Describe health. What are some common challenges in health work? How has technology changed the health field?,"Describe health, and make sure to mention recovery. What are some common challenges in health work? How has technology changed the health field?"
PROMPT_0180,taboo_concepts,psychology,trauma,healing,"Describe psychology, but do not mention trauma. What roles do professionals play in psychology environments? What equipment is commonly used in psychology settings?",Describe psychology. What roles do professionals play in psychology environments? What equipment is commonly used in psychology settings?,"Describe psychology, and make sure to mention healing. What roles do professionals play in psychology environments? What equipment is commonly used in psychology settings?"
PROMPT_0181,semantic_associates,hospital,doctor,nurse,"Describe hospital, but do not mention doctor. What are some common challenges in hospital work? What roles do professionals play in hospital environments?",Describe hospital. What are some common challenges in hospital work? What roles do professionals play in hospital environments?,"Describe hospital, and make sure to mention nurse. What are some common challenges in hospital work? What roles do professionals play in hospital environments?"
PROMPT_0182,semantic_associates,beach,ocean,wave,"Describe beach, but do not mention ocean. What equipment is commonly used in beach settings? How has technology changed the beach field?",Describe beach. What equipment is commonly used in beach settings? How has technology changed the beach field?,"Describe beach, and make sure to mention wave. What equipment is commonly used in beach settings? How has technology changed the beach field?"
PROMPT_0183,semantic_associates,desk,computer,mouse,"Describe desk, but do not mention computer. What equipment is commonly used in desk settings? What are some common challenges in desk work?",Describe desk. What equipment is commonly used in desk settings? What are some common challenges in desk work?,"Describe desk, and make sure to mention mouse. What equipment is commonly used in desk settings? What are some common challenges in desk work?"
PROMPT_0184,semantic_associates,library,book,page,"Describe library, but do not mention book. What are some common challenges in library work? What roles do professionals play in library environments?",Describe library. What are some common challenges in library work? What roles do professionals play in library environments?,"Describe library, and make sure to mention page. What are some common challenges in library work? What roles do professionals play in library environments?"
PROMPT_0185,semantic_associates,sky,sun,light,"Describe sky, but do not mention sun. What roles do professionals play in sky environments? What are some safety measures taken in sky?",Describe sky. What roles do professionals play in sky environments? What are some safety measures taken in sky?,"Describe sky, and make sure to mention light. What roles do professionals play in sky environments? What are some safety measures taken in sky?"
PROMPT_0186,antonyms,weather,hot,cold,"Describe weather, but do not mention hot. How has technology changed the weather field? What are some common challenges in weather work?",Describe weather. How has technology changed the weather field? What are some common challenges in weather work?,"Describe weather, and make sure to mention cold. How has technology changed the weather field? What are some common challenges in weather work?"
PROMPT_0187,antonyms,room,light,dark,"Describe room, but do not mention light. What are some common challenges in room work? What are some safety measures taken in room?",Describe room. What are some common challenges in room work? What are some safety measures taken in room?,"Describe room, and make sure to mention dark. What are some common challenges in room work? What are some safety measures taken in room?"
PROMPT_0188,antonyms,emotions,happy,sad,"Describe emotions, but do not mention happy. What are some safety measures taken in emotions? What roles do professionals play in emotions environments?",Describe emotions. What are some safety measures taken in emotions? What roles do professionals play in emotions environments?,"Describe emotions, and make sure to mention sad. What are some safety measures taken in emotions? What roles do professionals play in emotions environments?"
PROMPT_0189,antonyms,career,success,failure,"Describe career, but do not mention success. What are some common challenges in career work? What equipment is commonly used in career settings?",Describe career. What are some common challenges in career work? What equipment is commonly used in career settings?,"Describe career, and make sure to mention failure. What are some common challenges in career work? What equipment is commonly used in career settings?"
PROMPT_0190,antonyms,society,freedom,confinement,"Describe society, but do not mention freedom. What roles do professionals play in society environments? What are some safety measures taken in society?",Describe society. What roles do professionals play in society environments? What are some safety measures taken in society?,"Describe society, and make sure to mention confinement. What roles do professionals play in society environments? What are some safety measures taken in society?"
PROMPT_0191,taboo_concepts,conflict,violence,peace,"Describe conflict, but do not mention violence. What are some common challenges in conflict work? What are some safety measures taken in conflict?",Describe conflict. What are some common challenges in conflict work? What are some safety measures taken in conflict?,"Describe conflict, and make sure to mention peace. What are some common challenges in conflict work? What are some safety measures taken in conflict?"
PROMPT_0192,taboo_concepts,existence,death,life,"Describe existence, but do not mention death. How has technology changed the existence field? What are some safety measures taken in existence?",Describe existence. How has technology changed the existence field? What are some safety measures taken in existence?,"Describe existence, and make sure to mention life. How has technology changed the existence field? What are some safety measures taken in existence?"
PROMPT_0193,taboo_concepts,goals,failure,achievement,"Describe goals, but do not mention failure. What are some safety measures taken in goals? What are some common challenges in goals work?",Describe goals. What are some safety measures taken in goals? What are some common challenges in goals work?,"Describe goals, and make sure to mention achievement. What are some safety measures taken in goals? What are some common challenges in goals work?"
PROMPT_0194,taboo_concepts,health,addiction,recovery,"Describe health, but do not mention addiction. What are some common challenges in health work? How has technology changed the health field?",Describe health. What are some common challenges in health work? How has technology changed the health field?,"Describe health, and make sure to mention recovery. What are some common challenges in health work? How has technology changed the health field?"
PROMPT_0195,taboo_concepts,psychology,trauma,healing,"Describe psychology, but do not mention trauma. What roles do professionals play in psychology environments? How has technology changed the psychology field?",Describe psychology. What roles do professionals play in psychology environments? How has technology changed the psychology field?,"Describe psychology, and make sure to mention healing. What roles do professionals play in psychology environments? How has technology changed the psychology field?"
PROMPT_0196,semantic_associates,hospital,doctor,nurse,"Describe hospital, but do not mention doctor. What equipment is commonly used in hospital settings? How has technology changed the hospital field?",Describe hospital. What equipment is commonly used in hospital settings? How has technology changed the hospital field?,"Describe hospital, and make sure to mention nurse. What equipment is commonly used in hospital settings? How has technology changed the hospital field?"
PROMPT_0197,semantic_associates,beach,ocean,wave,"Describe beach, but do not mention ocean. What are some safety measures taken in beach? What roles do professionals play in beach environments?",Describe beach. What are some safety measures taken in beach? What roles do professionals play in beach environments?,"Describe beach, and make sure to mention wave. What are some safety measures taken in beach? What roles do professionals play in beach environments?"
PROMPT_0198,semantic_associates,desk,computer,mouse,"Describe desk, but do not mention computer. How has technology changed the desk field? What are some safety measures taken in desk?",Describe desk. How has technology changed the desk field? What are some safety measures taken in desk?,"Describe desk, and make sure to mention mouse. How has technology changed the desk field? What are some safety measures taken in desk?"
PROMPT_0199,semantic_associates,library,book,page,"Describe library, but do not mention book. What equipment is commonly used in library settings? What are some common challenges in library work?",Describe library. What equipment is commonly used in library settings? What are some common challenges in library work?,"Describe library, and make sure to mention page. What equipment is commonly used in library settings? What are some common challenges in library work?"
PROMPT_0200,semantic_associates,sky,sun,light,"Describe sky, but do not mention sun. What equipment is commonly used in sky settings? What are some common challenges in sky work?",Describe sky. What equipment is commonly used in sky settings? What are some common challenges in sky work?,"Describe sky, and make sure to mention light. What equipment is commonly used in sky settings? What are some common challenges in sky work?"
PROMPT_0201,antonyms,weather,hot,cold,"Describe weather, but do not mention hot. What are some safety measures taken in weather? What are some common challenges in weather work?",Describe weather. What are some safety measures taken in weather? What are some common challenges in weather work?,"Describe weather, and make sure to mention cold. What are some safety measures taken in weather? What are some common challenges in weather work?"
PROMPT_0202,antonyms,room,light,dark,"Describe room, but do not mention light. What are some safety measures taken in room? What roles do professionals play in room environments?",Describe room. What are some safety measures taken in room? What roles do professionals play in room environments?,"Describe room, and make sure to mention dark. What are some safety measures taken in room? What roles do professionals play in room environments?"
PROMPT_0203,antonyms,emotions,happy,sad,"Describe emotions, but do not mention happy. What equipment is commonly used in emotions settings? What roles do professionals play in emotions environments?",Describe emotions. What equipment is commonly used in emotions settings? What roles do professionals play in emotions environments?,"Describe emotions, and make sure to mention sad. What equipment is commonly used in emotions settings? What roles do professionals play in emotions environments?"
PROMPT_0204,antonyms,career,success,failure,"Describe career, but do not mention success. What roles do professionals play in career environments? What equipment is commonly used in career settings?",Describe career. What roles do professionals play in career environments? What equipment is commonly used in career settings?,"Describe career, and make sure to mention failure. What roles do professionals play in career environments? What equipment is commonly used in career settings?"
PROMPT_0205,antonyms,society,freedom,confinement,"Describe society, but do not mention freedom. What are some common challenges in society work? What roles do professionals play in society environments?",Describe society. What are some common challenges in society work? What roles do professionals play in society environments?,"Describe society, and make sure to mention confinement. What are some common challenges in society work? What roles do professionals play in society environments?"
PROMPT_0206,taboo_concepts,conflict,violence,peace,"Describe conflict, but do not mention violence. What roles do professionals play in conflict environments? How has technology changed the conflict field?",Describe conflict. What roles do professionals play in conflict environments? How has technology changed the conflict field?,"Describe conflict, and make sure to mention peace. What roles do professionals play in conflict environments? How has technology changed the conflict field?"
PROMPT_0207,taboo_concepts,existence,death,life,"Describe existence, but do not mention death. What equipment is commonly used in existence settings? What roles do professionals play in existence environments?",Describe existence. What equipment is commonly used in existence settings? What roles do professionals play in existence environments?,"Describe existence, and make sure to mention life. What equipment is commonly used in existence settings? What roles do professionals play in existence environments?"
PROMPT_0208,taboo_concepts,goals,failure,achievement,"Describe goals, but do not mention failure. What are some common challenges in goals work? What roles do professionals play in goals environments?",Describe goals. What are some common challenges in goals work? What roles do professionals play in goals environments?,"Describe goals, and make sure to mention achievement. What are some common challenges in goals work? What roles do professionals play in goals environments?"
PROMPT_0209,taboo_concepts,health,addiction,recovery,"Describe health, but do not mention addiction. What roles do professionals play in health environments? What are some common challenges in health work?",Describe health. What roles do professionals play in health environments? What are some common challenges in health work?,"Describe health, and make sure to mention recovery. What roles do professionals play in health environments? What are some common challenges in health work?"
PROMPT_0210,taboo_concepts,psychology,trauma,healing,"Describe psychology, but do not mention trauma. How has technology changed the psychology field? What are some common challenges in psychology work?",Describe psychology. How has technology changed the psychology field? What are some common challenges in psychology work?,"Describe psychology, and make sure to mention healing. How has technology changed the psychology field? What are some common challenges in psychology work?"
PROMPT_0211,semantic_associates,hospital,doctor,nurse,"Describe hospital, but do not mention doctor. How has technology changed the hospital field? What roles do professionals play in hospital environments?",Describe hospital. How has technology changed the hospital field? What roles do professionals play in hospital environments?,"Describe hospital, and make sure to mention nurse. How has technology changed the hospital field? What roles do professionals play in hospital environments?"
PROMPT_0212,semantic_associates,beach,ocean,wave,"Describe beach, but do not mention ocean. What equipment is commonly used in beach settings? What are some common challenges in beach work?",Describe beach. What equipment is commonly used in beach settings? What are some common challenges in beach work?,"Describe beach, and make sure to mention wave. What equipment is commonly used in beach settings? What are some common challenges in beach work?"
PROMPT_0213,semantic_associates,desk,computer,mouse,"Describe desk, but do not mention computer. What are some safety measures taken in desk? What equipment is commonly used in desk settings?",Describe desk. What are some safety measures taken in desk? What equipment is commonly used in desk settings?,"Describe desk, and make sure to mention mouse. What are some safety measures taken in desk? What equipment is commonly used in desk settings?"
PROMPT_0214,semantic_associates,library,book,page,"Describe library, but do not mention book. What equipment is commonly used in library settings? What roles do professionals play in library environments?",Describe library. What equipment is commonly used in library settings? What roles do professionals play in library environments?,"Describe library, and make sure to mention page. What equipment is commonly used in library settings? What roles do professionals play in library environments?"
